"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AC068931.11",2.18683821224133e-273,0.308078943574274,0.376,0.127,7.14112018207405e-269,"eSPN","AC068931.1"
"PCDH11Y",4.30052787896983e-272,1.43501401644759,0.458,0.215,1.4043373788776e-267,"eSPN","PCDH11Y"
"AL050403.2",9.85344954483769e-272,0.425153111406254,0.35,0.109,3.21764394886675e-267,"eSPN","AL050403.2"
"SYTL51",3.24854663135174e-270,0.562330460851145,0.986,0.899,1.06081290246791e-265,"eSPN","SYTL5"
"MGST21",4.8603528923062e-270,0.250901866867575,0.344,0.103,1.58714823698259e-265,"eSPN","MGST2"
"SORBS21",8.36499492103713e-270,0.420155371917438,1,0.999,2.73158909146468e-265,"eSPN","SORBS2"
"ZADH2",6.85650599566601e-268,0.430805053008023,0.698,0.412,2.23899203288473e-263,"eSPN","ZADH2"
"LIN7A",8.83772799930765e-267,0.550210991587628,0.917,0.71,2.88596007817391e-262,"eSPN","LIN7A"
"FAM189A2",5.15368564163507e-264,0.261724610360626,0.336,0.105,1.68293604627593e-259,"eSPN","FAM189A2"
"C11orf87",1.97476504872537e-263,0.450261851360034,0.69,0.409,6.44859526661269e-259,"eSPN","C11orf87"
"SORCS11",5.32467733553922e-262,0.606333574107164,1,0.953,1.73877338392033e-257,"eSPN","SORCS1"
"NPTX1",1.44553270957996e-260,0.32990821930759,0.45,0.172,4.72038706313337e-256,"eSPN","NPTX1"
"SERGEF1",5.38812114023096e-260,0.458457419098548,0.979,0.891,1.75949095834242e-255,"eSPN","SERGEF"
"MRAP22",1.78364495873886e-259,0.337613471966895,0.495,0.195,5.82449261276174e-255,"eSPN","MRAP2"
"TBC1D81",6.96236722280021e-257,0.469000622851731,0.826,0.592,2.27356101660541e-252,"eSPN","TBC1D8"
"NCAN",1.40517962620905e-255,0.449532421390613,0.797,0.531,4.58861406938566e-251,"eSPN","NCAN"
"AC005906.2",1.66549437373812e-255,0.51751722925161,0.98,0.888,5.43867187744183e-251,"eSPN","AC005906.2"
