"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"KIF5C",1.46405802978873e-41,0.325113789992019,0.996,0.994,4.78088149627511e-37,"SPN_patch","KIF5C"
"LRATD1",2.29515259555849e-41,0.253153337803051,0.65,0.424,7.49482080079624e-37,"SPN_patch","LRATD1"
"STRBP",4.89682540597983e-41,0.369644239922178,0.999,0.996,1.59905833632271e-36,"SPN_patch","STRBP"
"ARHGAP44",5.26449819960738e-41,0.251284006517986,1,0.995,1.71912188708179e-36,"SPN_patch","ARHGAP44"
"SLC8A31",6.923646428897e-41,0.387497846871522,0.836,0.72,2.26091674135632e-36,"SPN_patch","SLC8A3"
"SIK2",5.99051413848631e-40,0.335771679842412,0.988,0.985,1.9562023919227e-35,"SPN_patch","SIK2"
"GRAMD1B",8.70355801442963e-40,0.355146868552524,0.898,0.796,2.842146869612e-35,"SPN_patch","GRAMD1B"
"GABRA51",5.35209948025305e-39,0.348057770744684,0.849,0.699,1.74772808527663e-34,"SPN_patch","GABRA5"
"JARID2",7.01287531617402e-39,0.333856909125163,0.969,0.945,2.29005443449663e-34,"SPN_patch","JARID2"
"HECTD2",1.13818715300493e-38,0.315346498235168,0.953,0.91,3.7167501481376e-34,"SPN_patch","HECTD2"
"RHOBTB3",1.34662620075696e-38,0.322422745427785,0.58,0.403,4.39740785857184e-34,"SPN_patch","RHOBTB3"
"AC002460.21",1.70227547033876e-38,0.480294501685624,0.786,0.638,5.55878054839121e-34,"SPN_patch","AC002460.2"
"GABRG3-AS1",1.90460752974038e-38,0.304669180896748,0.445,0.258,6.21949588836721e-34,"SPN_patch","GABRG3-AS1"
"LINC010601",3.49491090386639e-38,0.343135098689249,0.248,0.104,1.14126315565757e-33,"SPN_patch","LINC01060"
"LMO31",1.22642052576192e-37,0.304979097810382,0.999,0.963,4.00487622687553e-33,"SPN_patch","LMO3"
"NR3C21",2.57458251910603e-37,0.342106348398067,0.985,0.964,8.40729921614075e-33,"SPN_patch","NR3C2"
"NMNAT2",2.80513374539634e-37,0.267513881364081,0.997,0.998,9.16016424559176e-33,"SPN_patch","NMNAT2"
"GRIA3",3.21849353606266e-36,0.267822303895076,1,0.995,1.05099906420126e-31,"SPN_patch","GRIA3"
"KCNT1",6.96988527992131e-36,0.407034878004596,0.786,0.715,2.2760160381583e-31,"SPN_patch","KCNT1"
"ADD1",8.18912581680572e-36,0.294364325631245,0.951,0.903,2.67415903547791e-31,"SPN_patch","ADD1"
"GFRA1",1.02408441489359e-35,0.264333312795372,0.509,0.306,3.344147656835e-31,"SPN_patch","GFRA1"
"PTCHD1-AS1",1.23126754080364e-35,0.645293663841329,0.922,0.943,4.02070415449429e-31,"SPN_patch","PTCHD1-AS"
"LINC00472",4.19601777276643e-35,0.395143121169993,0.792,0.687,1.37020960369688e-30,"SPN_patch","LINC00472"
"PTCHD1",7.72017361679812e-35,0.373754368519301,0.605,0.448,2.52102269456542e-30,"SPN_patch","PTCHD1"
"ZSWIM6",1.2615827418707e-34,0.286958005470691,1,0.997,4.11969844357879e-30,"SPN_patch","ZSWIM6"
"OPRM11",5.16322313224426e-34,0.282026781150554,0.615,0.393,1.68605051383436e-29,"SPN_patch","OPRM1"
"AL136441.1",2.35553815083094e-33,0.351969232773551,0.155,0.055,7.69200983153842e-29,"SPN_patch","AL136441.1"
