"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_subtract","weighted_logFC"
"ITGA9",3.42277016812519e-85,0.508684351575973,0.789,0.64,1.11140770129193e-80,"eSPN","ITGA9",0.149,0.07579396838482
"CDR2",4.25884816152406e-82,0.31756705910297,1,0.993,1.38289058652848e-77,"eSPN","CDR2",0.00700000000000001,0.00222296941372079
"KLHL29",1.1314890279535e-81,0.413544037152229,0.994,0.985,3.67405802266782e-77,"eSPN","KLHL29",0.00900000000000001,0.00372189633437006
"EPHA10",4.95574574326679e-81,0.2995659567476,0.916,0.804,1.60918020029616e-76,"eSPN","EPHA10",0.112,0.0335513871557312
"ENOX1",9.3671667123538e-80,0.331353480250368,1,0.991,3.0416127031684e-75,"eSPN","ENOX1",0.00900000000000001,0.00298218132225332
"KCNH5",2.01171060839343e-79,0.344747651158437,0.322,0.144,6.53222551651431e-75,"eSPN","KCNH5",0.178,0.0613650819062018
"PROS1",6.24253894138861e-79,0.352996886674454,0.671,0.464,2.0270148196583e-74,"eSPN","PROS1",0.207,0.0730703555416119
"ANKMY2",3.57096855330827e-76,0.266930493047997,0.974,0.928,1.15952919894473e-71,"eSPN","ANKMY2",0.0459999999999999,0.0122788026802078
"GALNT18",8.95202642478338e-72,0.302500104338684,0.995,0.961,2.90681250039141e-67,"eSPN","GALNT18",0.034,0.0102850035475153
"PHLPP1",1.05020128365526e-70,0.273714272152973,0.992,0.965,3.41010858815699e-66,"eSPN","PHLPP1",0.027,0.00739028534813028
"SLC1A2",5.66121054178722e-68,0.262312291471545,0.485,0.301,1.83825167502373e-63,"eSPN","SLC1A2",0.184,0.0482654616307642
"KIF13A",1.36557096679833e-66,0.258643479452972,0.906,0.78,4.43414548629086e-62,"eSPN","KIF13A",0.126,0.0325890784110744
"DAPK1",4.25970746087937e-65,0.28971058557668,1,0.998,1.38316960962214e-60,"eSPN","DAPK1",0.002,0.000579421171153359
