"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ARL15",0,0.988029421323985,0.975,0.936,0,"non-SPN","ARL15"
"ASXL3",0,0.987724501456764,0.64,0.081,0,"non-SPN","ASXL3"
"SH3RF3",0,0.98759581557369,0.8,0.418,0,"non-SPN","SH3RF3"
"CHD5",0,0.978600258606833,0.771,0.211,0,"non-SPN","CHD5"
"TOX3",0,0.977164543009233,0.281,0.001,0,"non-SPN","TOX3"
"SLC4A7",0,0.97309076992533,0.911,0.832,0,"non-SPN","SLC4A7"
"SIPA1L2",0,0.971752472452968,0.669,0.265,0,"non-SPN","SIPA1L2"
"REV3L",0,0.970584243249762,0.998,0.984,0,"non-SPN","REV3L"
"ARHGAP6",0,0.970089526338057,0.493,0.204,0,"non-SPN","ARHGAP6"
"AC019211.1",0,0.965087728888944,0.358,0.065,0,"non-SPN","AC019211.1"
"KIF21A",0,0.964670862343773,0.999,0.937,0,"non-SPN","KIF21A"
"EML5",0,0.962749649913643,0.985,0.967,0,"non-SPN","EML5"
"DAAM1",0,0.962410006512982,0.975,0.795,0,"non-SPN","DAAM1"
"NFIX",0,0.959533304021427,0.591,0,0,"non-SPN","NFIX"
"PRELID2",0,0.957881831636228,0.493,0.066,0,"non-SPN","PRELID2"
"ARHGAP28",0,0.955393258936343,0.568,0.157,0,"non-SPN","ARHGAP28"
"PRKAR2A",0,0.953462939431577,0.718,0.068,0,"non-SPN","PRKAR2A"
"FAT4",0,0.948531761673523,0.558,0.009,0,"non-SPN","FAT4"
"MT-CO2",0,0.946148977685146,0.989,0.937,0,"non-SPN","MT-CO2"
"KCTD16",0,0.946125499856464,0.96,0.997,0,"non-SPN","KCTD16"
"ANK1",0,0.933991098526437,0.586,0.028,0,"non-SPN","ANK1"
"PDZRN3",0,0.932998982161619,0.362,0.014,0,"non-SPN","PDZRN3"
"P3H2",0,0.929292153008182,0.679,0.276,0,"non-SPN","P3H2"
"NCKAP5",0,0.927953568950755,0.561,0.252,0,"non-SPN","NCKAP5"
"LHX6",0,0.924723077773245,0.603,0.002,0,"non-SPN","LHX6"
"PTPRZ1",0,0.922473909831374,0.438,0.006,0,"non-SPN","PTPRZ1"
"NTRK2",0,0.92162891956363,0.99,0.99,0,"non-SPN","NTRK2"
"MAF",0,0.921483719569183,0.401,0.001,0,"non-SPN","MAF"
"DOCK10",0,0.916068831026267,0.86,0.599,0,"non-SPN","DOCK10"
"SFTA3",0,0.909976326987988,0.554,0.001,0,"non-SPN","SFTA3"
"ADCY1",0,0.907886327958452,0.887,0.59,0,"non-SPN","ADCY1"
"LINC01138",0,0.905030465863095,0.696,0.131,0,"non-SPN","LINC01138"
"LGI1",0,0.895782390210971,0.935,0.861,0,"non-SPN","LGI1"
"TMEM65",0,0.892750409803288,0.694,0.238,0,"non-SPN","TMEM65"
"GALNT14",0,0.89200644123632,0.528,0.182,0,"non-SPN","GALNT14"
"MAP4K4",0,0.891986365602228,0.768,0.33,0,"non-SPN","MAP4K4"
"LINC02223",0,0.888369392844367,0.424,0.041,0,"non-SPN","LINC02223"
"AC073050.1",0,0.888300096986593,0.956,0.983,0,"non-SPN","AC073050.1"
"BACH1",0,0.886817384906612,0.599,0.11,0,"non-SPN","BACH1"
"CCDC88A",0,0.886188792146941,1,0.983,0,"non-SPN","CCDC88A"
"HDAC4",0,0.884863602856566,0.804,0.514,0,"non-SPN","HDAC4"
"AC004083.1",0,0.877936630908076,0.781,0.475,0,"non-SPN","AC004083.1"
"SIDT1",0,0.876899917201005,0.597,0.025,0,"non-SPN","SIDT1"
"PROX1-AS1",0,0.87542635952397,0.487,0.028,0,"non-SPN","PROX1-AS1"
"PHYHIPL",0,0.873267186420287,0.666,0.209,0,"non-SPN","PHYHIPL"
"ARL4C",0,0.869662671456016,0.585,0.001,0,"non-SPN","ARL4C"
"CMIP",0,0.868380156883814,0.936,0.602,0,"non-SPN","CMIP"
"ARHGAP24",0,0.864980450321241,0.403,0.005,0,"non-SPN","ARHGAP24"
"PTCHD4",0,0.863291761777457,0.905,0.752,0,"non-SPN","PTCHD4"
"GTDC1",0,0.861612259810762,0.952,0.79,0,"non-SPN","GTDC1"
"LIMCH1",0,0.859614863104891,0.998,0.983,0,"non-SPN","LIMCH1"
"ROBO1",0,0.850108260978595,0.993,1,0,"non-SPN","ROBO1"
"LCORL",0,0.846574982876082,0.816,0.421,0,"non-SPN","LCORL"
"GHR",0,0.839593694935205,0.571,0.27,0,"non-SPN","GHR"
"ATP1A3",0,0.839130068858969,0.819,0.489,0,"non-SPN","ATP1A3"
"AEBP2",0,0.838605703393947,0.999,0.983,0,"non-SPN","AEBP2"
"PTPRS",0,0.838010576415706,0.925,0.677,0,"non-SPN","PTPRS"
"WDFY2",0,0.836989446693615,0.726,0.322,0,"non-SPN","WDFY2"
"ARHGAP12",0,0.833281957288665,0.71,0.281,0,"non-SPN","ARHGAP12"
"EML6",0,0.832741544393993,0.993,0.955,0,"non-SPN","EML6"
"GRIK2",0,0.831528995023816,0.995,1,0,"non-SPN","GRIK2"
"ARL6IP1",0,0.830844608134537,0.836,0.472,0,"non-SPN","ARL6IP1"
"ADAMTS6",0,0.828240953290742,0.407,0.092,0,"non-SPN","ADAMTS6"
"NAP1L3",0,0.82732699718176,0.635,0.186,0,"non-SPN","NAP1L3"
"SLC35F1",0,0.826799356719353,0.981,0.721,0,"non-SPN","SLC35F1"
"EGFR",0,0.822969779557396,0.835,0.834,0,"non-SPN","EGFR"
"ANKS6",0,0.822313630014302,0.625,0.17,0,"non-SPN","ANKS6"
"AFF3",0,0.821706216242585,0.995,0.99,0,"non-SPN","AFF3"
"MAML2",0,0.816925010185482,0.456,0.067,0,"non-SPN","MAML2"
"LMBRD1",0,0.813256143180856,0.975,0.898,0,"non-SPN","LMBRD1"
"SLC22A3",0,0.813248664880728,0.351,0,0,"non-SPN","SLC22A3"
"RAPGEF2",0,0.809216736732892,0.991,0.915,0,"non-SPN","RAPGEF2"
"LINC02398",0,0.808599399748856,0.538,0.127,0,"non-SPN","LINC02398"
"VAMP2",0,0.807906733541714,0.842,0.549,0,"non-SPN","VAMP2"
"AL589740.1",0,0.806243474311617,0.953,0.986,0,"non-SPN","AL589740.1"
"AF279873.3",0,0.804945075633466,0.453,0.103,0,"non-SPN","AF279873.3"
"VPS13C",0,0.803355062890912,1,0.988,0,"non-SPN","VPS13C"
"ABCA1",0,0.803271315493133,0.604,0.186,0,"non-SPN","ABCA1"
"AL592156.2",0,0.801209688980466,0.383,0.013,0,"non-SPN","AL592156.2"
"AC007614.1",0,0.801166701137109,0.339,0.014,0,"non-SPN","AC007614.1"
"FXYD6",0,0.79964313910676,0.549,0.147,0,"non-SPN","FXYD6"
"MT-CO1",0,0.799554713864437,0.984,0.937,0,"non-SPN","MT-CO1"
"ADAMTS18",0,0.799362541847964,0.339,0.015,0,"non-SPN","ADAMTS18"
"ALK",0,0.798566612892487,0.433,0.19,0,"non-SPN","ALK"
"EPB41L5",0,0.797322770898249,0.886,0.525,0,"non-SPN","EPB41L5"
"SCAPER",0,0.794270310934796,0.998,0.974,0,"non-SPN","SCAPER"
"PKP2",0,0.793253243538778,0.415,0.127,0,"non-SPN","PKP2"
"LINC01470",0,0.788759364377944,0.333,0.056,0,"non-SPN","LINC01470"
"PRKCE",0,0.787631801742269,0.984,0.983,0,"non-SPN","PRKCE"
"SOBP",0,0.787440859885414,0.989,0.917,0,"non-SPN","SOBP"
"TLL2",0,0.78581639711822,0.327,0.048,0,"non-SPN","TLL2"
"FGFR2",0,0.783442549514619,0.357,0.001,0,"non-SPN","FGFR2"
"TRPC1",0,0.782408308703119,0.995,0.915,0,"non-SPN","TRPC1"
"CA10",0,0.781040765679865,0.308,0.007,0,"non-SPN","CA10"
"DISC1",0,0.780256582815428,0.429,0.01,0,"non-SPN","DISC1"
"NTN4",0,0.779883617293193,0.427,0.001,0,"non-SPN","NTN4"
"OPN3",0,0.776717256601896,0.356,0.071,0,"non-SPN","OPN3"
"WWOX",0,0.773071513759052,0.984,0.939,0,"non-SPN","WWOX"
"CRTAC1",0,0.769973960527373,0.552,0.111,0,"non-SPN","CRTAC1"
"GPM6A1",0,0.769373714050382,1,0.984,0,"non-SPN","GPM6A"
"CDC14B",0,0.768480838057317,0.812,0.444,0,"non-SPN","CDC14B"
"CCSER1",0,0.760750977468637,1,1,0,"non-SPN","CCSER1"
"TENT5A",0,0.760272107691459,0.365,0.001,0,"non-SPN","TENT5A"
"ANGPT2",0,0.759795900452546,0.533,0.206,0,"non-SPN","ANGPT2"
"OLFM2",0,0.756906678547603,0.639,0.137,0,"non-SPN","OLFM2"
"PEG3",0,0.756423053041741,0.99,0.96,0,"non-SPN","PEG3"
"LTBP1",0,0.755596923152919,0.411,0.01,0,"non-SPN","LTBP1"
"OPCML",0,0.754813381894063,1,0.994,0,"non-SPN","OPCML"
"FAM110B",0,0.754664090563726,0.899,0.737,0,"non-SPN","FAM110B"
"CECR2",0,0.75214238270566,0.411,0.001,0,"non-SPN","CECR2"
"LRP8",0,0.752072617728392,0.508,0.098,0,"non-SPN","LRP8"
"RALGPS1",0,0.751371495743805,0.984,0.85,0,"non-SPN","RALGPS1"
"TRMT11",0,0.75097513137825,0.997,0.983,0,"non-SPN","TRMT11"
"MGAT5",0,0.750643482016956,0.966,0.922,0,"non-SPN","MGAT5"
"AP002989.1",0,0.749543937779316,0.265,0.003,0,"non-SPN","AP002989.1"
"VSNL1",0,0.748258574407144,0.517,0.164,0,"non-SPN","VSNL1"
"MFN1",0,0.746585662484509,0.797,0.416,0,"non-SPN","MFN1"
"ELAVL4",0,0.744746760085362,0.531,0.008,0,"non-SPN","ELAVL4"
"AL356108.1",0,0.740617786063666,0.33,0.07,0,"non-SPN","AL356108.1"
"MB21D2",0,0.740444875765745,0.648,0.347,0,"non-SPN","MB21D2"
"SFMBT2",0,0.739534847225194,0.756,0.611,0,"non-SPN","SFMBT2"
"SEL1L3",0,0.737083178525436,0.443,0.033,0,"non-SPN","SEL1L3"
"SLC4A10",0,0.729795008444173,0.999,0.998,0,"non-SPN","SLC4A10"
"PRKG2",0,0.729665583835481,0.424,0.038,0,"non-SPN","PRKG2"
"SPIRE1",0,0.728207613958423,0.981,0.842,0,"non-SPN","SPIRE1"
"PPP1R1C",0,0.726966250246796,0.247,0.009,0,"non-SPN","PPP1R1C"
"AP000943.2",0,0.724740420838951,0.556,0.111,0,"non-SPN","AP000943.2"
