"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_subtract","weighted_logFC"
"SSH1",5.44635124739697e-224,0.257569727063019,0.872,0.735,1.76848471354227e-219,"non-SPN","SSH1",0.137,0.0352870526076336
"LCOR",9.29575992274948e-224,0.317543478642078,0.999,0.996,3.01842620451599e-219,"non-SPN","LCOR",0.003,0.000952630435926234
"TRA2A",1.14039924270665e-223,0.295645954427231,0.998,0.989,3.70299038099276e-219,"non-SPN","TRA2A",0.00900000000000001,0.00266081358984508
"ASPH",1.65233309594651e-223,0.349391570859789,0.994,0.98,5.36529079584791e-219,"non-SPN","ASPH",0.014,0.00489148199203704
"HELZ",5.49484222489926e-223,0.313783902849148,0.996,0.985,1.78423021884704e-218,"non-SPN","HELZ",0.011,0.00345162293134063
"MCUB",8.30522120372732e-223,0.281553829544689,0.215,0.055,2.6967883770623e-218,"non-SPN","MCUB",0.16,0.0450486127271502
"ATP9B",8.61141922817423e-223,0.333464457138805,0.998,0.987,2.79621393758045e-218,"non-SPN","ATP9B",0.011,0.00366810902852686
"CEP112",1.7307959601643e-222,0.488968344157226,0.919,0.736,5.6200675622495e-218,"non-SPN","CEP112",0.183,0.0894812069807724
"ABCC1",7.03882105424119e-222,0.29077807939844,0.823,0.667,2.28557558452266e-217,"non-SPN","ABCC1",0.156,0.0453613803861566
"FAM3C",1.56680113675722e-221,0.301110064065985,0.799,0.639,5.08755997116439e-217,"non-SPN","FAM3C",0.16,0.0481776102505576
"SNX10",2.63700257877663e-221,0.304628728229628,0.893,0.789,8.5626110735456e-217,"non-SPN","SNX10",0.104,0.0316813877358813
"ST13",3.22963326137171e-221,0.263046901350041,0.839,0.693,1.04869421630001e-216,"non-SPN","ST13",0.146,0.038404847597106
"TMEFF2",3.39596812536667e-221,0.70986258474809,0.942,0.91,1.10270480998781e-216,"non-SPN","TMEFF2",0.0319999999999999,0.0227156027119388
"TMTC2",3.47363096573906e-221,1.70855346049963,0.695,0.562,1.12792271088513e-216,"non-SPN","TMTC2",0.133,0.22723761024645
"MEGF11",4.9477468132488e-221,0.275213463952061,0.436,0.209,1.60658286773002e-216,"non-SPN","MEGF11",0.227,0.062473456317118
"SEC62",6.10416639156398e-221,0.323098048117427,0.961,0.913,1.98208386900474e-216,"non-SPN","SEC62",0.0479999999999999,0.0155087063096365
"MAP2K4",4.392726872801e-220,0.312885040309924,0.999,0.998,1.42636234286721e-215,"non-SPN","MAP2K4",0.001,0.000312885040309925
"UBR4",1.31691211830447e-219,0.279557600595737,0.955,0.89,4.27614533934644e-215,"non-SPN","UBR4",0.0649999999999999,0.0181712440387229
"HEATR5A",7.27170002516822e-219,0.279980922373746,0.686,0.473,2.36119371517237e-214,"non-SPN","HEATR5A",0.213,0.0596359364656079
"HLTF",1.15471267198678e-218,0.302166214005694,0.984,0.937,3.74946751720827e-214,"non-SPN","HLTF",0.0469999999999999,0.0142018120582676
"BMP2K",1.30032736016984e-218,0.283912914957247,0.922,0.844,4.22229297120748e-214,"non-SPN","BMP2K",0.0780000000000001,0.0221452073666653
"SYT11",2.34919737164248e-218,0.306274893931199,0.988,0.965,7.62807878546031e-214,"non-SPN","SYT11",0.023,0.00704432256041758
"HDHD2",3.03323734982359e-217,0.254221487123482,0.766,0.589,9.84922499861217e-213,"non-SPN","HDHD2",0.177,0.0449972032208564
"SLC6A11",4.78487540624506e-217,0.261954216115934,0.489,0.257,1.55369689316184e-212,"non-SPN","SLC6A11",0.232,0.0607733781388966
"MGST3",4.88662225116002e-217,0.276465403005514,0.952,0.875,1.58673511117417e-212,"non-SPN","MGST3",0.077,0.0212878360314245
"RNF38",9.45481112657755e-217,0.308813535923951,0.972,0.931,3.070071720911e-212,"non-SPN","RNF38",0.0409999999999999,0.012661354972882
"SMIM14",6.69569978359762e-216,0.278511106575337,0.871,0.723,2.17416067673198e-211,"non-SPN","SMIM14",0.148,0.0412196437731499
"EEF1A2",8.29053350011726e-216,0.267353478834111,0.632,0.413,2.69201913282307e-211,"non-SPN","EEF1A2",0.219,0.0585504118646702
"FUS",1.1071495166935e-215,0.263158523466806,0.972,0.932,3.59502519565546e-211,"non-SPN","FUS",0.0399999999999999,0.0105263409386722
"SETD5",1.32302079150231e-215,0.323555131573452,0.999,0.997,4.29598081208716e-211,"non-SPN","SETD5",0.002,0.000647110263146905
